,index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
693,693,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,en-US,Excellent,4.06,32626.0,genre fiction,352.82,0.0,2.99,798.0,"Amazon Digital Services,  Inc.",36288.0
694,694,2000.0,The Austere Academy,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.97,99311.0,genre fiction,116.82,0.0,0.99,799.0,"Amazon Digital Services,  Inc.",36288.0
695,695,2001.0,Seven Up,Janet Evanovich,en-US,Excellent,4.15,94506.0,genre fiction,1320.42,792.252,11.19,800.0,HarperCollins Publishers,36072.0
696,696,2009.0,The Awakening,Kelley Armstrong,eng,Excellent,4.16,,genre fiction,761.1,456.66,6.45,802.0,Simon and Schuster Digital Sales Inc,36072.0
697,697,2003.0,Death Masks,Jim Butcher,eng,Excellent,4.32,83664.0,children,654.9,392.94,5.55,802.0,"Amazon Digital Services,  Inc.",36072.0
698,698,1993.0,Stellaluna,Janell Cannon,en-US,Excellent,4.22,87423.0,genre fiction,116.82,70.092,0.99,803.0,"Amazon Digital Services,  Inc.",36072.0
699,699,2007.0,Before They Are Hanged,Joe Abercrombie,eng,Excellent,4.27,68865.0,genre fiction,116.82,70.092,0.99,804.0,Random House LLC,35856.0
700,700,2007.0,Loving Frank,Nancy Horan,en-US,Intermediate,3.73,72734.0,genre fiction,824.82,494.892,6.99,804.0,Hachette Book Group,35640.0
701,701,2002.0,Hard Eight,"Janet Evanovich, Lorelei King",en-US,Excellent,4.17,93057.0,nonfiction,1060.82,636.492,8.99,805.0,Random House LLC,35640.0
702,702,2001.0,The Vile Village,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.94,89733.0,genre fiction,706.82,424.092,5.99,808.0,Penguin Group (USA) LLC,35640.0
703,703,1973.0,Sybil,Flora Rheta Schreiber,en-US,Intermediate,3.99,72493.0,nonfiction,502.68,301.608,4.26,809.0,HarperCollins Publishing,35640.0
704,704,1980.0,Cosmos,Carl Sagan,,Excellent,4.35,76440.0,nonfiction,1131.62,678.972,9.59,810.0,Penguin Group (USA) LLC,35640.0
705,705,2005.0,,Chuck Palahniuk,eng,Intermediate,3.59,68861.0,fiction,234.82,140.892,1.99,810.0,Simon and Schuster Digital Sales Inc,35424.0
706,706,1987.0,The Shell Seekers,Rosamunde Pilcher,eng,Excellent,4.13,73573.0,genre fiction,588.82,0.0,4.99,811.0,"Amazon Digital Services,  Inc.",35424.0
707,707,2006.0,What Is the What: The Autobiography of Valentino Achak Deng,Dave Eggers,eng,Excellent,4.16,,genre fiction,1680.32,1008.192,14.24,811.0,Penguin Group (USA) LLC,35424.0
708,708,1981.0,CrÃ³nica de una muerte anunciada,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",eng,Intermediate,3.95,56200.0,genre fiction,1128.08,676.848,9.56,813.0,Simon and Schuster Digital Sales Inc,35208.0
709,709,1891.0,A Scandal in Bohemia,"Ronald Holt, Arthur Conan Doyle",,Excellent,4.22,65422.0,nonfiction,352.82,211.692,2.99,814.0,"Amazon Digital Services,  Inc.",35208.0
710,710,2011.0,Killing Lincoln: The Shocking Assassination that Changed America Forever,"Bill O'Reilly, Martin Dugard",eng,Excellent,,71868.0,,872.02,523.212,7.39,816.0,"Amazon Digital Services,  Inc.",35208.0
711,711,2013.0,The Lowland,Jhumpa Lahiri,eng,Intermediate,3.82,62231.0,genre fiction,470.82,282.492,3.99,,"Amazon Digital Services,  Inc.",35208.0
712,712,2004.0,The Ruins of Gorlan,,eng,Excellent,4.2,83085.0,nonfiction,824.82,494.892,6.99,818.0,Random House LLC,34992.0
713,713,2009.0,Wintergirls,Laurie Halse Anderson,eng,Intermediate,3.98,87665.0,genre fiction,352.82,0.0,2.99,819.0,"Amazon Digital Services,  Inc.",34992.0
714,714,2000.0,The Brethren,John Grisham,,Intermediate,3.71,,fiction,942.82,565.692,7.99,820.0,Penguin Group (USA) LLC,34992.0
715,715,1997.0,Assassin's Quest,Robin Hobb,eng,Excellent,4.18,67125.0,genre fiction,470.82,0.0,3.99,821.0,"Amazon Digital Services,  Inc.",34776.0
716,716,1967.0,Rosemary's Baby,Ira Levin,eng,Intermediate,3.96,78766.0,genre fiction,588.82,0.0,4.99,823.0,"Amazon Digital Services,  Inc.",34776.0
717,717,1984.0,The Talisman,"Stephen King, Peter Straub",en-US,Excellent,4.12,79508.0,nonfiction,234.82,140.892,1.99,823.0,"Amazon Digital Services,  Inc.",34776.0
718,718,,The Path of Daggers,Robert Jordan,eng,Intermediate,3.9,74815.0,genre fiction,234.82,140.892,1.99,824.0,"Amazon Digital Services,  Inc.",34560.0
719,719,1958.0,The Dharma Bums,Jack Kerouac,en-US,Intermediate,3.94,62454.0,children,725.7,435.42,6.15,825.0,,34560.0
720,720,2010.0,The Reckoning,Kelley Armstrong,en-GB,Excellent,4.21,92922.0,,466.83,0.0,3.99,826.0,"Amazon Digital Services,  Inc.",34560.0
721,721,2012.0,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,en-US,Intermediate,3.97,69596.0,fiction,934.83,560.898,7.99,827.0,Random House LLC,34344.0
722,722,1934.0,,"P.L. Travers, Mary Shepard",en-US,Excellent,4.05,82706.0,genre fiction,349.83,209.898,2.99,830.0,"Amazon Digital Services,  Inc.",34128.0
723,723,2007.0,Red Seas Under Red Skies,Scott Lynch,eng,Excellent,4.23,68255.0,genre fiction,349.83,209.898,2.99,831.0,"Amazon Digital Services,  Inc.",34128.0
724,724,1984.0,The House on Mango Street,Sandra Cisneros,eng,Intermediate,3.57,81579.0,genre fiction,115.83,0.0,0.99,,"Amazon Digital Services,  Inc.",34128.0
725,725,2008.0,City of Thieves,David Benioff,en-GB,Excellent,4.28,68063.0,genre fiction,232.83,139.698,1.99,832.0,HarperCollins Publishers,34128.0
726,726,2007.0,Halfway to the Grave,Jeaniene Frost,eng,Excellent,4.18,106608.0,genre fiction,232.83,139.698,1.99,834.0,"Amazon Digital Services,  Inc.",33912.0
727,727,1980.0,The Twits,"Roald Dahl, Quentin Blake",eng,Intermediate,3.94,,genre fiction,855.27,513.162,7.31,,Random House LLC,33696.0
728,728,2003.0,Abhorsen,Garth Nix,,Excellent,4.29,80740.0,nonfiction,1519.83,911.898,12.99,836.0,"Amazon Digital Services,  Inc.",33696.0
729,729,2002.0,The Beach House,"James Patterson, Peter de Jonge",eng,Intermediate,3.82,68676.0,genre fiction,466.83,0.0,3.99,,"Amazon Digital Services,  Inc.",33480.0
730,730,1987.0,Eyes of the Dragon,Stephen King,eng,Intermediate,3.92,72714.0,,700.83,420.498,5.99,837.0,HarperCollins Publishers,
731,731,1976.0,Children of Dune,Frank Herbert,eng,Intermediate,3.9,74133.0,genre fiction,115.83,0.0,0.99,838.0,"Amazon Digital Services,  Inc.",33264.0
732,732,2011.0,Leviathan Wakes,,eng,Excellent,4.2,68416.0,nonfiction,1689.48,1013.688,14.44,840.0,HarperCollins Publishers,33048.0
733,733,2015.0,Queen of Shadows,Sarah J. Maas,,Famous,4.6,99067.0,genre fiction,349.83,209.898,2.99,841.0,Macmillan,33048.0
734,734,1991.0,Maus II : And Here My Troubles Began ,Art Spiegelman,eng,Famous,4.41,90147.0,nonfiction,583.83,350.298,4.99,842.0,Hachette Book Group,32832.0
735,735,1962.0,The Snowy Day,Ezra Jack Keats,,Excellent,4.13,,genre fiction,1170.0,702.0,10.0,843.0,,32832.0
736,736,2003.0,To the Nines,Janet Evanovich,eng,Excellent,4.16,86963.0,genre fiction,1402.83,841.698,11.99,844.0,Penguin Group (USA) LLC,32832.0
737,737,2012.0,Where We Belong,,en-US,Intermediate,3.86,68224.0,nonfiction,115.83,0.0,0.99,845.0,"Amazon Digital Services,  Inc.",32616.0
738,738,1994.0,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,,Excellent,4.1,,,349.83,0.0,2.99,846.0,"Amazon Digital Services,  Inc.",32616.0
739,739,1999.0,ã‚¹ãƒ—ãƒ¼ãƒˆãƒ‹ã‚¯ã®æ‹äºº [SupÅ«toniku no Koibito],"Haruki Murakami, Philip Gabriel",eng,Intermediate,3.82,62229.0,genre fiction,1084.59,650.754,9.27,846.0,Penguin Group (USA) LLC,32616.0
